fold,id,month,sector_id,target,prediction,fold_score
1,2023 Jan_sector 1,2023-01-01,1,18283.33,18163.271,0.997091988265792
1,2023 Jan_sector 2,2023-01-01,2,11523.2,11499.8125,0.997091988265792
1,2023 Jan_sector 3,2023-01-01,3,7040.31,7037.551,0.997091988265792
1,2023 Jan_sector 4,2023-01-01,4,25030.07,25054.342,0.997091988265792
1,2023 Jan_sector 5,2023-01-01,5,446.74,447.0102,0.997091988265792
1,2023 Jan_sector 6,2023-01-01,6,10160.01,10180.831,0.997091988265792
1,2023 Jan_sector 7,2023-01-01,7,3262.41,3291.3462,0.997091988265792
1,2023 Jan_sector 8,2023-01-01,8,3640.51,3640.2517,0.997091988265792
1,2023 Jan_sector 9,2023-01-01,9,12819.83,12820.18,0.997091988265792
1,2023 Jan_sector 10,2023-01-01,10,19229.37,19358.754,0.997091988265792
1,2023 Jan_sector 11,2023-01-01,11,3556.13,3569.844,0.997091988265792
1,2023 Jan_sector 12,2023-01-01,12,913.5,911.14526,0.997091988265792
1,2023 Jan_sector 13,2023-01-01,13,7100.54,7110.149,0.997091988265792
1,2023 Jan_sector 14,2023-01-01,14,7450.72,7454.1143,0.997091988265792
1,2023 Jan_sector 15,2023-01-01,15,30220.76,30154.574,0.997091988265792
1,2023 Jan_sector 16,2023-01-01,16,24087.85,24139.684,0.997091988265792
1,2023 Jan_sector 17,2023-01-01,17,4680.15,4680.3535,0.997091988265792
1,2023 Jan_sector 18,2023-01-01,18,19964.47,20011.395,0.997091988265792
1,2023 Jan_sector 19,2023-01-01,19,309.7,313.3074,0.997091988265792
1,2023 Jan_sector 20,2023-01-01,20,8708.13,8741.009,0.997091988265792
1,2023 Jan_sector 21,2023-01-01,21,6213.58,6188.508,0.997091988265792
1,2023 Jan_sector 22,2023-01-01,22,10780.91,10737.149,0.997091988265792
1,2023 Jan_sector 23,2023-01-01,23,37954.55,38094.58,0.997091988265792
1,2023 Jan_sector 24,2023-01-01,24,14889.05,14856.418,0.997091988265792
1,2023 Jan_sector 25,2023-01-01,25,17327.6,17272.51,0.997091988265792
1,2023 Jan_sector 26,2023-01-01,26,8735.96,8735.642,0.997091988265792
1,2023 Jan_sector 27,2023-01-01,27,2259.38,2241.479,0.997091988265792
1,2023 Jan_sector 28,2023-01-01,28,63140.71,63178.234,0.997091988265792
1,2023 Jan_sector 29,2023-01-01,29,16185.63,16159.939,0.997091988265792
1,2023 Jan_sector 30,2023-01-01,30,22144.52,22238.906,0.997091988265792
1,2023 Jan_sector 31,2023-01-01,31,10369.25,10361.44,0.997091988265792
1,2023 Jan_sector 32,2023-01-01,32,555116.69,549880.9,0.997091988265792
1,2023 Jan_sector 33,2023-01-01,33,659.01,660.4386,0.997091988265792
1,2023 Jan_sector 34,2023-01-01,34,4707.72,4714.65,0.997091988265792
1,2023 Jan_sector 35,2023-01-01,35,3610.68,3606.565,0.997091988265792
1,2023 Jan_sector 36,2023-01-01,36,29527.62,29561.076,0.997091988265792
1,2023 Jan_sector 37,2023-01-01,37,4142.11,4122.361,0.997091988265792
1,2023 Jan_sector 38,2023-01-01,38,33855.54,33787.91,0.997091988265792
1,2023 Jan_sector 39,2023-01-01,39,494.98,493.62656,0.997091988265792
1,2023 Jan_sector 40,2023-01-01,40,481.45,481.8051,0.997091988265792
1,2023 Jan_sector 41,2023-01-01,41,320.99,321.01407,0.997091988265792
1,2023 Jan_sector 42,2023-01-01,42,7556.8,7497.953,0.997091988265792
1,2023 Jan_sector 43,2023-01-01,43,12953.47,13000.677,0.997091988265792
1,2023 Jan_sector 44,2023-01-01,44,9765.9,9789.987,0.997091988265792
1,2023 Jan_sector 45,2023-01-01,45,18707.91,18803.316,0.997091988265792
1,2023 Jan_sector 46,2023-01-01,46,5027.4,5013.4575,0.997091988265792
1,2023 Jan_sector 47,2023-01-01,47,14225.04,14207.774,0.997091988265792
1,2023 Jan_sector 48,2023-01-01,48,8685.6,8689.704,0.997091988265792
1,2023 Jan_sector 49,2023-01-01,49,177.79,177.80699,0.997091988265792
1,2023 Jan_sector 50,2023-01-01,50,11709.23,11681.125,0.997091988265792
1,2023 Jan_sector 51,2023-01-01,51,5446.99,5486.094,0.997091988265792
1,2023 Jan_sector 52,2023-01-01,52,1461.07,1453.0046,0.997091988265792
1,2023 Jan_sector 53,2023-01-01,53,683.81,682.2724,0.997091988265792
1,2023 Jan_sector 54,2023-01-01,54,36911.43,36759.19,0.997091988265792
1,2023 Jan_sector 55,2023-01-01,55,65327.86,65718.945,0.997091988265792
1,2023 Jan_sector 56,2023-01-01,56,1309.98,1307.1107,0.997091988265792
1,2023 Jan_sector 57,2023-01-01,57,13048.45,13022.667,0.997091988265792
1,2023 Jan_sector 58,2023-01-01,58,180.76,180.97675,0.997091988265792
1,2023 Jan_sector 59,2023-01-01,59,4864.8,4859.9067,0.997091988265792
1,2023 Jan_sector 60,2023-01-01,60,12701.24,12631.738,0.997091988265792
1,2023 Jan_sector 61,2023-01-01,61,30896.63,30835.502,0.997091988265792
1,2023 Jan_sector 62,2023-01-01,62,8926.59,8931.097,0.997091988265792
1,2023 Jan_sector 63,2023-01-01,63,3661.78,3687.8706,0.997091988265792
1,2023 Jan_sector 64,2023-01-01,64,10228.79,10303.662,0.997091988265792
1,2023 Jan_sector 65,2023-01-01,65,5879.77,5897.004,0.997091988265792
1,2023 Jan_sector 66,2023-01-01,66,46384.18,46463.098,0.997091988265792
